Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2015_EML,250,250,1.00,100.00%
Abstract,2015_EML,250,250,1.00,100.00%
Attribute Definition,2015_EML,2078,130,8.31,52.00%
Attribute List,2015_EML,150,130,0.60,52.00%
Author,2015_EML,636,250,2.54,100.00%
Author / Originator,2015_EML,636,250,2.54,100.00%
Author / Originator Email Address,2015_EML,237,100,0.95,40.00%
Author / Originator Identifier,2015_EML,136,135,0.54,54.00%
Author / Originator World Wide Web Address,2015_EML,298,108,1.19,43.20%
Bounding Box,2015_EML,265,246,1.06,98.40%
Contributor Name,2015_EML,67,25,0.27,10.00%
Contributor Role,2015_EML,40,25,0.16,10.00%
Distribution Format,2015_EML,130,130,0.52,52.00%
Easternmost Longitude,2015_EML,264,246,1.06,98.40%
End Time,2015_EML,128,128,0.51,51.20%
Entity Type Definition,2015_EML,153,129,0.61,51.60%
Entity and Attribute Information,2015_EML,153,129,0.61,51.60%
Instrument,2015_EML,54,10,0.22,4.00%
Keyword,2015_EML,2927,250,11.71,100.00%
Keyword Type,2015_EML,440,222,1.76,88.80%
Keyword Vocabulary,2015_EML,74,30,0.30,12.00%
Maintenance,2015_EML,140,140,0.56,56.00%
Metadata Access Constraints,2015_EML,250,250,1.00,100.00%
Metadata Contact,2015_EML,443,237,1.77,94.80%
Metadata Modified Date,2015_EML,1,1,0.00,0.40%
Metadata Use Constraints,2015_EML,250,250,1.00,100.00%
Northernmost Latitude,2015_EML,262,246,1.05,98.40%
Organization Name,2015_EML,1671,250,6.68,100.00%
Originating Organization,2015_EML,617,231,2.47,92.40%
Parent Identifier,2015_EML,3,3,0.01,1.20%
Place Keyword,2015_EML,441,215,1.76,86.00%
Process Step,2015_EML,249,249,1.00,99.60%
Project Description,2015_EML,21,21,0.08,8.40%
Project Name,2015_EML,298,108,1.19,43.20%
Publication Date,2015_EML,248,248,0.99,99.20%
Publisher,2015_EML,241,241,0.96,96.40%
Publisher E-Mail,2015_EML,219,219,0.88,87.60%
Publisher URL,2015_EML,219,219,0.88,87.60%
Related Resource Citation,2015_EML,21,21,0.08,8.40%
Related Resource Identifier,2015_EML,3,3,0.01,1.20%
Resource Access Constraints,2015_EML,250,250,1.00,100.00%
Resource Contact,2015_EML,507,250,2.03,100.00%
Resource Creation/Revision Date,2015_EML,249,248,1.00,99.20%
Resource Distribution,2015_EML,38,38,0.15,15.20%
Resource Format,2015_EML,130,130,0.52,52.00%
Resource Identifier,2015_EML,250,250,1.00,100.00%
Resource Identifier Type,2015_EML,250,250,1.00,100.00%
Resource Language,2015_EML,127,127,0.51,50.80%
Resource Lineage,2015_EML,249,249,1.00,99.60%
Resource Long Name,2015_EML,250,250,1.00,100.00%
Resource Quality Description,2015_EML,10,10,0.04,4.00%
Resource Revision Date,2015_EML,1,1,0.00,0.40%
Resource Status,2015_EML,250,250,1.00,100.00%
Resource Title,2015_EML,250,250,1.00,100.00%
Resource Update Frequency,2015_EML,121,121,0.48,48.40%
Resource Use Constraints,2015_EML,249,249,1.00,99.60%
Resource on-line Link,2015_EML,38,38,0.15,15.20%
Rights,2015_EML,249,249,1.00,99.60%
Security Constraints,2015_EML,250,250,1.00,100.00%
Southernmost Latitude,2015_EML,263,246,1.05,98.40%
Spatial Extent,2015_EML,265,246,1.06,98.40%
Start Time,2015_EML,128,128,0.51,51.20%
Supplemental Information,2015_EML,2,2,0.01,0.80%
Taxonomic Extent,2015_EML,10,10,0.04,4.00%
Temporal Extent,2015_EML,249,249,1.00,99.60%
Temporal Keyword,2015_EML,2,2,0.01,0.80%
Unknown,2015_EML,53448,250,213.79,100.00%
Vertical Maximum,2015_EML,18,10,0.07,4.00%
Vertical Minimum,2015_EML,18,10,0.07,4.00%
Vertical Resolution,2015_EML,10,10,0.04,4.00%
Westernmost Longitude,2015_EML,264,246,1.06,98.40%
